,DATE,AREA,DAILY_INCIDENT_COUNT
0,2024-01-01,Sentrarand,6.0
1,2024-01-01,Sentrarand,6.0
2,2024-01-01,Sentrarand,6.0
3,2024-01-03,Vereeniging,1.0
4,2024-01-03,Springdale,2.0
5,2024-01-03,Springdale,2.0
6,2024-01-04,Sentrarand,1.0
7,2024-01-05,Leeuhof,1.0
8,2024-01-05,Bilkour,1.0
9,2024-01-05,Springdale,1.0
10,2024-01-06,Sentrarand,1.0
11,2024-01-06,Zesfontein,1.0
12,2024-01-07,Fochville,1.0
13,2024-01-08,Sentrarand,2.0
14,2024-01-08,Sentrarand,2.0
15,2024-01-08,Vereeniging,1.0
16,2024-01-09,Sentrarand,2.0
17,2023-01-09,Sentrarand,1.0
18,2024-01-09,Vereeniging,1.0
19,2024-01-09,Sentrarand,2.0
20,2024-01-10,Fochville,1.0
21,2024-01-10,Sentrarand,4.0
22,2024-01-10,Sentrarand,4.0
23,2024-01-10,Klerksdorp,1.0
24,2024-01-10,Sentrarand,4.0
25,2024-01-10,Sentrarand,4.0
26,2024-01-11,Sentrarand,1.0
27,2024-01-11,Vereeniging,1.0
28,2024-01-12,Springdale,1.0
29,2024-01-14,Sentrarand,1.0
30,2024-01-14,Klerksdorp,1.0
31,2024-01-14,Fochville,1.0
32,2024-01-15,Roode,1.0
33,2024-01-15,Sentrarand,1.0
34,2024-01-16,Sasolburg,1.0
35,2024-01-16,Sentrarand,2.0
36,2024-01-16,Sentrarand,2.0
37,2024-01-17,Sentrarand,1.0
38,2024-01-18,Fochville,1.0
39,2024-01-18,Sentrarand,1.0
40,2024-01-19,Sentrarand,2.0
41,2024-01-19,Sentrarand,2.0
42,2024-01-19,Fochville,1.0
43,2024-01-19,Hardeklip,1.0
44,2024-01-19,Klipdrift And Tarrental,1.0
45,2024-01-21,Vereeniging,3.0
46,2024-01-21,Sasolburg,1.0
47,2024-01-21,Vereeniging,3.0
48,2024-01-21,Sentrarand,1.0
49,,Sentrarand,
50,2024-01-21,Vereeniging,3.0
51,2024-01-22,Sentrarand,1.0
52,2024-01-22,Fochville,1.0
53,2024-01-23,Bank And Oberholzer,1.0
54,2024-01-23,Natal Spruit,1.0
55,2024-01-23,Vereeniging,1.0
56,,Bilkjor Yard,
57,2024-01-25,Natal Spruit,1.0
58,2024-01-25,Vaal,1.0
59,,Potchefstroom,
60,2024-01-26,Potchefstroom,1.0
61,2024-01-26,Sentrarand,1.0
62,2024-01-27,Vaal,1.0
63,2024-01-27,Vereeniging,1.0
64,2024-01-27,Sentrarand,2.0
65,2024-01-27,Fochville,1.0
66,2024-01-27,Sentrarand,2.0
67,2024-01-28,Fochville,1.0
68,2024-01-28,Natalspruit,1.0
69,,Fochville,
70,2024-01-30,Makwassie,1.0
71,2024-01-30,Sasolburg,1.0
72,,Sentrarand,
73,,Sentrarand,
74,2024-01-31,Makwassie,1.0
75,2024-01-31,Houtkop,1.0
76,2024-01-31,Sentrarand,1.0
77,2023-12-02,Meyerton,1.0
